"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3455","Sauce demo - Product Order Workflow","firefox","2026-05-19","passed","2026-05-19","","ProductOrder.spec.ts","",""
"","1890","checkbox testing","chromium","2026-05-19","passed","2026-05-19","","HeroKuapp.spec.ts","",""
"","8871","Sauce Demo Testing - Login feature","webkit","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
"","1585","Sauce Demo Testing - Login feature","chromium","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
"","5481","Sauce demo - Product Order Workflow","webkit","2026-05-19","passed","2026-05-19","","ProductOrder.spec.ts","",""
"","6839","Sauce Demo Testing - Login feature","firefox","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
"","1868","SauceDemo Sign Up","chromium","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
"","1374","Sauce demo - Product Order Workflow","chromium","2026-05-19","passed","2026-05-19","","ProductOrder.spec.ts","",""
"","3110","checkbox testing","webkit","2026-05-19","passed","2026-05-19","","HeroKuapp.spec.ts","",""
"","17260","Sauce Demo - Shopping cart","firefox","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
"","8365","SauceDemo Sign Up","firefox","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
"","10121","Sauce Demo - Shopping cart","chromium","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
"","8982","SauceDemo Sign Up","webkit","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
"","4213","checkbox testing","firefox","2026-05-19","passed","2026-05-19","","HeroKuapp.spec.ts","",""
"","9840","Sauce Demo - Shopping cart","webkit","2026-05-19","passed","2026-05-19","","SauceDemo.spec.ts","",""
